point_short_code,point_long_code,address_full,geometry
080,18080,78 Harrison Garden Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.4071126847266, 43.7560487701648]]}"
081,18081,30 Harrison Garden Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.4083803124087, 43.7562925735017]]}"
083,18083,16 Harrison Garden Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.4094173735591, 43.7576418867129]]}"
084,18084,1 Botham Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4135471740452, 43.7534007337369]]}"
085,18085,211 Cameron Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.421251554251, 43.7543606984639]]}"
032,01032,850 Humberwood Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.6191818734033, 43.7288858667834]]}"
045,18045,77 Finch Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.4110929651348, 43.7801808804691]]}"
001,24001,1680 Ellesmere Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2498153214279, 43.7729012284117]]}"
048,18048,277 Finch Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.3949742011282, 43.7838330777765]]}"
049,18049,360 Hollywood Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3918291306292, 43.7705185087478]]}"
025,22025,2501 Bridletowne Crcl,"{'type': 'MultiPoint', 'coordinates': [[-79.3180737471701, 43.80291776814]]}"
016,24016,2877 Ellesmere Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2034867505943, 43.7806221448648]]}"
028,22028,222 Silver Springs Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.3023769660098, 43.8044295089524]]}"
029,22029,260 Silver Springs Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.3022463993111, 43.8053583871689]]}"
017,24017,277 Orton Park Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2108470572537, 43.7774253140666]]}"
018,24018,125 Orton Park Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2081104575107, 43.7711994113637]]}"
020,24020,749 Brimorton Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.2243167892305, 43.7731919492023]]}"
016,20016,120 Town Haven Pl,"{'type': 'MultiPoint', 'coordinates': [[-79.2592728838712, 43.7332366101358]]}"
