point_short_code,point_long_code,geometry
031,21031,"{'type': 'MultiPoint', 'coordinates': [[-79.2854358683742, 43.7470746923287]]}"
018,03018,"{'type': 'MultiPoint', 'coordinates': [[-79.5322693355008, 43.6440356747713]]}"
033,21033,"{'type': 'MultiPoint', 'coordinates': [[-79.2801490008504, 43.7476285889232]]}"
007,03007,"{'type': 'MultiPoint', 'coordinates': [[-79.5200726873081, 43.6458612984121]]}"
039,21039,"{'type': 'MultiPoint', 'coordinates': [[-79.2623651149549, 43.7569783122163]]}"
032,24032,"{'type': 'MultiPoint', 'coordinates': [[-79.2190606152536, 43.7624687290814]]}"
035,24035,"{'type': 'MultiPoint', 'coordinates': [[-79.2095785361357, 43.7611980953357]]}"
036,24036,"{'type': 'MultiPoint', 'coordinates': [[-79.1966222950893, 43.7650173036954]]}"
011,22011,"{'type': 'MultiPoint', 'coordinates': [[-79.3178860611438, 43.8091967088078]]}"
038,18038,"{'type': 'MultiPoint', 'coordinates': [[-79.413827685557, 43.775114323028]]}"
017,03017,"{'type': 'MultiPoint', 'coordinates': [[-79.5308631315656, 43.6438893407126]]}"
041,21041,"{'type': 'MultiPoint', 'coordinates': [[-79.2505895007965, 43.7552241662758]]}"
062,21062,"{'type': 'MultiPoint', 'coordinates': [[-79.2398865092258, 43.7440442493865]]}"
018,23018,"{'type': 'MultiPoint', 'coordinates': [[-79.2656585281205, 43.8126668817723]]}"
031,23031,"{'type': 'MultiPoint', 'coordinates': [[-79.2615613356444, 43.8042919764275]]}"
032,23032,"{'type': 'MultiPoint', 'coordinates': [[-79.2545373739443, 43.8087034390153]]}"
059,03059,"{'type': 'MultiPoint', 'coordinates': [[-79.4833578038054, 43.6201612551572]]}"
074,03074,"{'type': 'MultiPoint', 'coordinates': [[-79.5191606370668, 43.6015634242313]]}"
086,03086,"{'type': 'MultiPoint', 'coordinates': [[-79.5575654002818, 43.6092712543977]]}"
087,03087,"{'type': 'MultiPoint', 'coordinates': [[-79.5582882481444, 43.6090552589685]]}"
009,07009,"{'type': 'MultiPoint', 'coordinates': [[-79.5241887818511, 43.7697002065415]]}"
013,07013,"{'type': 'MultiPoint', 'coordinates': [[-79.5023381683704, 43.7734100899864]]}"
034,13034,"{'type': 'MultiPoint', 'coordinates': [[-79.3763302839852, 43.6652837517251]]}"
029,25029,"{'type': 'MultiPoint', 'coordinates': [[-79.1251044991877, 43.7920905167023]]}"
045,13045,"{'type': 'MultiPoint', 'coordinates': [[-79.3851027997392, 43.6630544528106]]}"
069,17069,"{'type': 'MultiPoint', 'coordinates': [[-79.3706199873484, 43.7677176172567]]}"
039,09039,"{'type': 'MultiPoint', 'coordinates': [[-79.4361563218923, 43.6520845728443]]}"
031,09031,"{'type': 'MultiPoint', 'coordinates': [[-79.4399264681495, 43.6627661508689]]}"
062,17062,"{'type': 'MultiPoint', 'coordinates': [[-79.3516008694888, 43.7702840439533]]}"
032,09032,"{'type': 'MultiPoint', 'coordinates': [[-79.4441081672185, 43.6592199059966]]}"
063,17063,"{'type': 'MultiPoint', 'coordinates': [[-79.3510894573741, 43.7736294638957]]}"
035,09035,"{'type': 'MultiPoint', 'coordinates': [[-79.4412354246502, 43.6523836303418]]}"
034,09034,"{'type': 'MultiPoint', 'coordinates': [[-79.4496261104229, 43.6573811998574]]}"
064,17064,"{'type': 'MultiPoint', 'coordinates': [[-79.358798765507, 43.7740339851618]]}"
033,09033,"{'type': 'MultiPoint', 'coordinates': [[-79.4463876766759, 43.6582779265776]]}"
037,09037,"{'type': 'MultiPoint', 'coordinates': [[-79.4287330378586, 43.659146292881]]}"
005,01005,"{'type': 'MultiPoint', 'coordinates': [[-79.5844719859096, 43.7520919012962]]}"
038,09038,"{'type': 'MultiPoint', 'coordinates': [[-79.4240544310152, 43.655675087264]]}"
036,09036,"{'type': 'MultiPoint', 'coordinates': [[-79.4321542870877, 43.6577935996839]]}"
067,17067,"{'type': 'MultiPoint', 'coordinates': [[-79.3694836097073, 43.7690784008596]]}"
061,22061,"{'type': 'MultiPoint', 'coordinates': [[-79.2807506452988, 43.7778723435317]]}"
005,17005,"{'type': 'MultiPoint', 'coordinates': [[-79.3665552934095, 43.8052613014219]]}"
010,17010,"{'type': 'MultiPoint', 'coordinates': [[-79.3554480856806, 43.8068603785032]]}"
009,17009,"{'type': 'MultiPoint', 'coordinates': [[-79.3557094447754, 43.8094863867353]]}"
011,17011,"{'type': 'MultiPoint', 'coordinates': [[-79.3507265117258, 43.7994075938642]]}"
005,03005,"{'type': 'MultiPoint', 'coordinates': [[-79.5050543363765, 43.6490805592046]]}"
006,03006,"{'type': 'MultiPoint', 'coordinates': [[-79.5189670333434, 43.6482193681748]]}"
064,22064,"{'type': 'MultiPoint', 'coordinates': [[-79.2822222183956, 43.7841325957597]]}"
014,03014,"{'type': 'MultiPoint', 'coordinates': [[-79.5297696356509, 43.6443613565601]]}"
013,03013,"{'type': 'MultiPoint', 'coordinates': [[-79.5277094771905, 43.6448294056697]]}"
